사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차
2023-11,1호선,150,서울역,1446981,1382424,217363,207561
2023-11,1호선,151,시청,706852,705374,103979,102291
2023-11,1호선,152,종각,983062,964695,149124,137862
2023-11,1호선,153,종로3가,476984,437566,288215,265357
2023-11,1호선,154,종로5가,503760,494954,245469,236463
2023-11,1호선,155,동대문,228644,220181,123983,123667
2023-11,1호선,156,신설동,296375,284293,119681,117247
2023-11,1호선,157,제기동,236214,225295,263515,281109
2023-11,1호선,158,청량리(서울시립대입구),380377,369038,271514,275177
2023-11,1호선,159,동묘앞,145123,150686,149961,151238
2023-11,2호선,201,시청,707571,662312,63864,58234
2023-11,2호선,202,을지로입구,1335236,1374217,107654,100201
2023-11,2호선,203,을지로3가,651148,641164,77081,74822
2023-11,2호선,204,을지로4가,333511,339693,79834,78877
2023-11,2호선,205,동대문역사문화공원(DDP),376421,440799,60151,64501
2023-11,2호선,206,신당,342459,360452,92936,95191
2023-11,2호선,207,상왕십리,356918,344692,69214,70010
2023-11,2호선,208,왕십리(성동구청),430189,376172,53794,48157
2023-11,2호선,209,한양대,378021,415265,14913,16058
2023-11,2호선,210,뚝섬,647649,678875,63515,63498
2023-11,2호선,211,성수,1089255,1200842,104422,105702
2023-11,2호선,212,건대입구,1002639,1062356,94938,98643
2023-11,2호선,213,구의(광진구청),621121,600553,108032,108328
2023-11,2호선,214,강변(동서울터미널),824426,780885,124328,120082
2023-11,2호선,215,잠실나루,353359,341242,93438,93782
2023-11,2호선,216,잠실(송파구청),2144031,2152292,219204,209608
2023-11,2호선,217,잠실새내,579999,577510,114142,112443
2023-11,2호선,218,종합운동장,283591,317434,53033,55757
2023-11,2호선,219,삼성(무역센터),1522589,1545451,122229,113340
2023-11,2호선,220,선릉,1370785,1208533,235172,206951
2023-11,2호선,221,역삼,1277744,1464716,155338,158092
2023-11,2호선,222,강남,2123272,2072541,165986,144141
2023-11,2호선,223,교대(법원.검찰청),731799,885819,153848,183786
2023-11,2호선,224,서초,566953,541426,95357,94778
2023-11,2호선,225,방배,442800,462170,80996,80407
2023-11,2호선,226,사당,978507,1089934,212313,203143
2023-11,2호선,227,낙성대(강감찬),711813,685425,107180,109320
2023-11,2호선,228,서울대입구(관악구청),1199679,1167132,177833,167580
2023-11,2호선,229,봉천,554366,508596,151067,149710
2023-11,2호선,230,신림,1417861,1347029,199086,196831
2023-11,2호선,231,신대방,626182,599910,130486,131987
2023-11,2호선,232,구로디지털단지,1467998,1447184,192370,191859
2023-11,2호선,233,대림(구로구청),587250,599821,131914,136682
2023-11,2호선,234,신도림,1266344,1255910,227301,213441
2023-11,2호선,235,문래,558453,575209,88470,88119
2023-11,2호선,236,영등포구청,528029,546732,102721,101254
2023-11,2호선,237,당산,472277,556115,59808,65450
2023-11,2호선,238,합정,910534,995720,71830,72264
2023-11,2호선,239,홍대입구,2012032,2173849,101960,98645
2023-11,2호선,240,신촌,1064202,1092882,125381,123232
2023-11,2호선,241,이대,473105,520911,50923,53925
2023-11,2호선,242,아현,261750,241214,65696,64278
2023-11,2호선,243,충정로(경기대입구),251727,269843,48719,49233
2023-11,2호선,244,용답,72687,73835,17717,17410
2023-11,2호선,245,신답,38552,42956,9692,10635
2023-11,2호선,246,신설동,81201,77153,31174,33113
2023-11,2호선,247,도림천,27698,29324,8289,9326
2023-11,2호선,248,양천구청,151428,161247,52621,53928
2023-11,2호선,249,신정네거리,227821,235647,76099,77569
2023-11,2호선,250,용두(동대문구청),49598,48169,23888,24904
2023-11,3호선,309,지축,170676,169314,35524,34213
2023-11,3호선,310,구파발,509671,500065,128514,123589
2023-11,3호선,311,연신내,767377,723576,261096,252120
2023-11,3호선,312,불광,349031,372112,140283,154763
2023-11,3호선,313,녹번,386434,342524,82422,80976
