사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
2023-11,1호선,150,서울역,754,24,8803,9140,13291,57495,42678,117863,76782,241291,70589,173585,64804,86966,83766,75092,94257,85069,90492,84813,74027,75732,105384,84672,122812,87232,188418,101555,237941,101200,126769,68343,88590,49033,86918,45021,56429,29277,28258,13604,2582,2715,0,263,0,0,0,0
2023-11,1호선,151,시청,85,1,2386,4880,4126,25406,8210,74544,11295,204232,14695,104685,17455,51517,23323,49101,25705,44020,32102,43695,41988,36245,55122,31230,67701,30484,104572,32768,173255,29368,67539,14928,60997,9721,55036,8952,33827,6717,11015,4157,392,989,5,24,0,1,0,0
2023-11,1호선,152,종각,146,2,3933,5534,4289,28364,7066,112348,11327,280398,14073,164732,19046,66992,28863,60419,35055,51298,43235,50382,54498,42067,67288,38243,82065,41526,162089,49454,232809,52381,98558,25528,84732,12049,89407,9145,65319,6417,27321,4347,1067,928,0,3,0,0,0,0
2023-11,1호선,153,종로3가,158,5,3832,2823,3672,12311,5986,26646,9848,69132,13973,65669,20970,56952,30125,63521,41325,63410,47459,59426,56135,52405,66415,44643,73067,42819,86360,42750,97582,43090,56536,22378,46582,11608,49755,9165,38099,7440,16026,4714,1293,1967,1,49,0,0,0,0
2023-11,1호선,154,종로5가,38,0,2143,3994,3351,16789,6345,42953,10480,102462,14790,69674,23562,62307,36510,62719,46219,59181,54318,54894,61215,51247,67152,43811,73267,41038,95407,37658,103875,33728,52783,19744,37376,10400,33561,7930,20196,6259,6335,3718,306,911,0,0,0,0,0,0
2023-11,1호선,155,동대문,712,23,11780,2144,9684,6468,15581,11446,21234,19660,19891,22513,17382,23977,19053,25774,22440,25573,24260,23759,26257,23035,27621,21898,27857,21082,26553,21328,23353,22027,16063,21224,14337,14402,13253,13060,10008,12374,4696,9311,609,2518,3,252,0,0,0,0
2023-11,1호선,156,신설동,452,23,9356,2201,9928,8331,22239,23126,33738,56566,22517,34367,18745,21942,20456,18617,22557,18409,23782,19547,23066,18728,24847,20917,30335,22212,42134,25120,53186,31521,20479,23789,13848,15934,12039,15378,8401,13297,3602,9413,347,2098,2,4,0,0,0,0
2023-11,1호선,157,제기동,389,5,5235,2298,9001,9055,22364,20410,34204,36641,24433,33111,24694,36210,31757,42653,37930,46030,40040,47925,44294,45451,49108,38699,47211,32347,43610,27591,36653,27835,19292,19281,12409,12475,8898,11277,5897,9884,2191,6106,119,1120,0,0,0,0,0,0
2023-11,1호선,158,청량리(서울시립대입구),1098,36,11641,3101,17862,13030,47714,17605,59275,37753,37006,36350,31446,38316,36060,43050,41470,46775,44280,50700,46923,48960,52987,48952,57345,44732,52736,45757,43391,56460,22844,36417,18872,22528,15238,21246,9623,17788,3833,11030,247,3629,0,0,0,0,0,0
2023-11,1호선,159,동묘앞,178,0,3003,1049,3677,4331,7997,8743,13249,21207,10972,17768,12017,20421,16045,26699,21559,30687,28831,35641,32621,30584,35472,25934,35484,18615,32122,14120,18715,11646,8944,8701,5420,6218,4481,6569,3082,6919,1093,4066,118,1606,4,400,0,0,0,0
2023-11,2호선,201,시청,59,0,931,2009,2369,18811,5649,72109,8927,231357,13120,102907,18996,35594,25098,30545,25019,28527,30682,32379,37524,26820,46028,23826,58520,22546,116324,24853,179077,25393,64513,12791,50577,8528,47162,7801,28314,7263,11066,4714,1474,1665,6,108,0,0,0,0
2023-11,2호선,202,을지로입구,47,3,2515,2709,4690,30022,11449,132327,20386,357121,27621,176426,33132,91410,42618,73330,47185,64760,59807,66729,68105,58885,82267,59603,99518,64521,181622,76613,293260,79441,140565,47084,133661,29927,89895,26142,71873,21009,28931,11883,3740,4033,3,440,0,0,0,0
2023-11,2호선,203,을지로3가,27,1,1288,2158,2770,20102,6863,75076,13483,186001,18413,81063,21944,35334,24242,28126,25512,26013,29146,29004,33274,25629,37781,26069,47583,28533,99820,36041,147196,41933,61902,25293,44166,15523,46952,13075,39969,11577,22124,7308,3756,2020,18,107,0,0,0,0
2023-11,2호선,204,을지로4가,8,0,832,1303,2304,13824,5767,37849,11701,82199,13085,43265,15847,27086,18470,25150,19570,23542,22648,22522,24650,20953,28008,19163,35448,18288,64239,18696,70607,18745,30134,12744,18020,9102,15500,8514,10366,8481,5059,5178,1075,1888,7,78,0,0,0,0
2023-11,2호선,205,동대문역사문화공원(DDP),258,2,5434,1223,4405,8720,7829,21693,13621,51393,15071,34461,16739,31662,18600,28676,23039,29459,23623,29988,27679,30616,33290,27901,38757,28110,46828,31058,48720,38022,31305,34682,23973,25017,22831,20392,20881,17128,11002,11019,2660,3849,27,229,0,0,0,0
2023-11,2호선,206,신당,25,0,6577,1187,11671,8793,29787,16716,52677,31110,30856,23484,20474,18088,18835,19479,21956,20730,23110,22245,22437,23013,24287,25617,27697,30213,31981,40175,32545,57626,22346,37269,17738,23910,16977,21040,14525,19387,7482,11604,1409,3841,3,116,0,0,0,0
2023-11,2호선,207,상왕십리,56,0,6081,799,13850,5759,42735,13232,70622,31352,39120,19303,23986,13811,20237,13160,21729,15215,20774,16776,19011,17720,20180,21681,21672,26756,26471,37427,27324,56716,18944,38031,12158,24488,10523,22859,7182,21795,2932,13329,544,4378,1,115,0,0,0,0
2023-11,2호선,208,왕십리(성동구청),809,7,6781,1044,9954,8347,26285,14001,47155,29032,29906,20022,20439,15901,19755,16625,22376,18358,23153,20260,22785,19496,26108,22169,33455,26764,36783,38158,37165,57602,24679,35972,23807,22251,27627,20536,26761,19476,15274,12808,2920,5268,6,232,0,0,0,0
2023-11,2호선,209,한양대,1,0,1197,586,2556,7078,5768,13297,9838,70506,7329,61913,9070,55673,19352,21918,20538,41036,19237,28701,26199,23767,39518,19947,46503,14440,57837,16536,46838,21167,21272,10568,18453,6560,20938,6099,12409,5926,6523,4147,1551,1382,7,76,0,0,0,0
2023-11,2호선,210,뚝섬,4,0,3205,2430,8093,17009,19162,42323,27601,144430,18362,100065,15496,46574,17698,36031,21821,35897,26706,38794,31326,35320,41134,35813,53084,36491,86441,42484,140115,49885,69005,28404,46873,15091,43047,13105,28865,11792,11390,7435,1733,2861,3,139,0,0,0,0
2023-11,2호선,211,성수,55,2,5507,3631,9418,33123,23244,73060,32574,264212,24699,165095,22408,84264,26747,66245,33925,67529,42994,73934,52059,70307,65541,68870,86691,69148,144889,72953,259704,78486,122301,44737,86804,21618,75798,17541,53161,14925,22003,10950,3140,5112,15,802,0,0,0,0
2023-11,2호선,212,건대입구,293,4,15153,2044,22294,15842,55840,25424,99065,65710,66377,54871,40963,45474,39651,46481,45492,52613,48463,57667,51548,57086,56234,63372,65961,76421,78112,108378,89177,156846,65771,106184,66072,65054,70341,60695,70408,54956,42990,33458,7338,11411,34,1008,0,0,0,0
2023-11,2호선,213,구의(광진구청),45,0,14046,1498,26868,24140,71436,17303,123274,42023,77058,24515,39535,20815,32113,20800,33207,22951,32357,27055,29426,29321,30927,36802,42538,44331,43395,62152,46540,100191,24562,71322,18862,46425,17433,43823,15925,41646,8238,23946,1354,7485,14,337,0,0,0,0
