,Is the thing related to food or drink in any way?,Would the keyword be included in the broad category of Machines?,Is it tangible?,Is it water-based?,is it a living thing?,Would the keyword be considered a Home appliance?
Advertisement,no,no,no,no,no,no
Agave,yes,no,yes,no,yes,no
Air compressor,no,yes,yes,no,no,no
Air Conditioner,no,yes,yes,no,no,yes
Air filter,no,yes,yes,no,no,yes
Air vent,no,no,yes,no,no,no
Alarm system,no,yes,yes,no,no,no
Analogy,no,no,no,no,no,no
Anemone,no,no,yes,yes,yes,no
Anesthesia,no,no,no,no,no,no
Apple pie,yes,no,yes,no,no,no
Aprons,yes,no,yes,no,no,no
Aquarium,no,no,yes,yes,no,no
Atmosphere,no,no,no,no,no,no
Auditorium,no,no,yes,no,no,no
Backrest,no,no,yes,no,no,no
Bacteria,yes,no,yes,no,yes,no
Baguette,yes,no,yes,no,no,no
Balcony,no,no,yes,no,no,no
Bank,no,no,no,no,no,no
Barber Chair,no,no,yes,no,no,no
Barcode,yes,yes,yes,no,no,no
Bat,no,no,yes,no,yes,no
Bath Mat,no,no,yes,no,no,no
Battery Bank,no,no,yes,no,no,no
Beanbag,no,no,yes,no,no,no
Bed frame,no,no,yes,no,no,no
Bike,no,yes,yes,no,no,no
Bike path,no,no,yes,no,no,no
Binoculars,no,no,yes,no,no,no
Bird cage,no,no,yes,no,no,no
Bird seed,yes,no,yes,no,no,no
Bleachers,no,no,yes,no,no,no
Blinds,no,no,yes,no,no,no
Board Games,no,no,yes,no,no,no
Bobby Pins,no,no,yes,no,no,no
Bollards,no,no,yes,no,no,no
Bonding Agent,no,no,yes,no,no,no
Bookcase,no,no,yes,no,no,no
Bookends,no,no,yes,no,no,no
Bottled Water,yes,no,yes,yes,no,no
Bread knife,yes,no,yes,no,no,no
Bread pudding,yes,no,yes,no,no,no
Break room,yes,no,yes,no,no,no
Brewery merchandise,yes,no,yes,no,no,no
Briefcase,no,no,yes,no,no,no
Brochure,no,no,yes,no,no,no
Broken glass,no,no,yes,no,no,no
Brownies,yes,no,yes,no,no,no
Bug spray,no,no,yes,no,no,no
Bulb,no,no,yes,no,no,no
Bumper sticker,no,no,yes,no,no,no
Bunsen burner,no,no,yes,no,no,no
Butterfly,no,no,yes,no,yes,no
Cabinet,no,no,yes,no,no,no
Calculator,no,yes,yes,no,no,no
Cantaloupe,yes,no,yes,no,yes,no
Car Seat,no,no,yes,no,no,no
Card,no,no,yes,no,no,no
Cardboard box,no,no,yes,no,no,no
Cash Register,no,yes,yes,no,no,no
Cat bed,no,no,yes,no,no,no
Cat carrier,no,no,yes,no,no,no
Cauliflower,yes,no,yes,no,yes,no
Ceiling fan,no,yes,yes,no,no,yes
Cereal,yes,no,yes,no,no,no
Latte,yes,no,yes,no,no,no
Champagne flute,yes,no,yes,no,no,no
Chandelier,no,no,yes,no,no,no
Cheesecake,yes,no,yes,no,no,no
Chessboard,no,no,yes,no,no,no
Chew toy,no,no,yes,no,no,no
Chocolate cake,yes,no,yes,no,no,no
Cinnamon roll,yes,no,yes,no,no,no
Rags,no,no,yes,no,no,no
Coat Rack,no,no,yes,no,no,no
Coffee beans,yes,no,yes,no,no,no
Coffee Grinder,yes,yes,yes,no,no,yes
Coffee grounds,yes,no,yes,no,no,no
Coffee Makers,yes,yes,yes,no,no,yes
Comic Book,no,no,yes,no,no,no
